year,round,from_country_id,from_country,to_country_id,to_country,total_points,tele_points,jury_points,place_final,identifier
2021,final,al,Albania,it,Italy,14,10,4,1,2021_final_it
2021,final,al,Albania,fr,France,16,6,10,2,2021_final_fr
2021,final,al,Albania,ch,Switzerland,24,12,12,3,2021_final_ch
2021,final,al,Albania,is,Iceland,0,0,0,4,2021_final_is
2021,final,al,Albania,ua,Ukraine,4,4,0,5,2021_final_ua
2021,final,al,Albania,fi,Finland,6,3,3,6,2021_final_fi
2021,final,al,Albania,mt,Malta,8,0,8,7,2021_final_mt
2021,final,al,Albania,lt,Lithuania,0,0,0,8,2021_final_lt
2021,final,al,Albania,ru,Russia,0,0,0,9,2021_final_ru
2021,final,al,Albania,gr,Greece,14,8,6,10,2021_final_gr
2021,final,al,Albania,bg,Bulgaria,5,5,0,11,2021_final_bg
2021,final,al,Albania,pt,Portugal,0,0,0,12,2021_final_pt
2021,final,al,Albania,md,Moldova,7,7,0,13,2021_final_md
2021,final,al,Albania,se,Sweden,1,1,0,14,2021_final_se
2021,final,al,Albania,rs,Serbia,1,0,1,15,2021_final_rs
2021,final,al,Albania,cy,Cyprus,9,2,7,16,2021_final_cy
2021,final,al,Albania,il,Israel,0,0,0,17,2021_final_il
2021,final,al,Albania,no,Norway,0,0,0,18,2021_final_no
2021,final,al,Albania,be,Belgium,0,0,0,19,2021_final_be
2021,final,al,Albania,az,Azerbaijan,2,0,2,20,2021_final_az
2021,final,al,Albania,al,Albania,0,0,0,21,2021_final_al
2021,final,al,Albania,sm,San Marino,5,0,5,22,2021_final_sm
2021,final,al,Albania,nl,Netherlands,0,0,0,23,2021_final_nl
2021,final,al,Albania,es,Spain,0,0,0,24,2021_final_es
2021,final,al,Albania,de,Germany,0,0,0,25,2021_final_de
2021,final,al,Albania,gb,United Kingdom,0,0,0,26,2021_final_gb
2021,final,au,Australia,it,Italy,13,7,6,1,2021_final_it
2021,final,au,Australia,fr,France,11,4,7,2,2021_final_fr
2021,final,au,Australia,ch,Switzerland,15,5,10,3,2021_final_ch
2021,final,au,Australia,is,Iceland,20,12,8,4,2021_final_is
2021,final,au,Australia,ua,Ukraine,15,10,5,5,2021_final_ua
2021,final,au,Australia,fi,Finland,3,3,0,6,2021_final_fi
2021,final,au,Australia,mt,Malta,20,8,12,7,2021_final_mt
2021,final,au,Australia,lt,Lithuania,6,6,0,8,2021_final_lt
2021,final,au,Australia,ru,Russia,1,0,1,9,2021_final_ru
2021,final,au,Australia,gr,Greece,0,0,0,10,2021_final_gr
2021,final,au,Australia,bg,Bulgaria,2,0,2,11,2021_final_bg
2021,final,au,Australia,pt,Portugal,0,0,0,12,2021_final_pt
2021,final,au,Australia,md,Moldova,0,0,0,13,2021_final_md
2021,final,au,Australia,se,Sweden,0,0,0,14,2021_final_se
2021,final,au,Australia,rs,Serbia,2,2,0,15,2021_final_rs
2021,final,au,Australia,cy,Cyprus,4,0,4,16,2021_final_cy
2021,final,au,Australia,il,Israel,0,0,0,17,2021_final_il
2021,final,au,Australia,no,Norway,1,1,0,18,2021_final_no
2021,final,au,Australia,be,Belgium,0,0,0,19,2021_final_be
2021,final,au,Australia,az,Azerbaijan,0,0,0,20,2021_final_az
2021,final,au,Australia,al,Albania,0,0,0,21,2021_final_al
2021,final,au,Australia,sm,San Marino,0,0,0,22,2021_final_sm
2021,final,au,Australia,nl,Netherlands,3,0,3,23,2021_final_nl
2021,final,au,Australia,es,Spain,0,0,0,24,2021_final_es
2021,final,au,Australia,de,Germany,0,0,0,25,2021_final_de
2021,final,au,Australia,gb,United Kingdom,0,0,0,26,2021_final_gb
2021,final,at,Austria,it,Italy,14,8,6,1,2021_final_it
2021,final,at,Austria,fr,France,14,6,8,2,2021_final_fr
2021,final,at,Austria,ch,Switzerland,15,5,10,3,2021_final_ch
2021,final,at,Austria,is,Iceland,22,10,12,4,2021_final_is
2021,final,at,Austria,ua,Ukraine,7,7,0,5,2021_final_ua
2021,final,at,Austria,fi,Finland,5,4,1,6,2021_final_fi
2021,final,at,Austria,mt,Malta,6,2,4,7,2021_final_mt
2021,final,at,Austria,lt,Lithuania,3,3,0,8,2021_final_lt
2021,final,at,Austria,ru,Russia,0,0,0,9,2021_final_ru
2021,final,at,Austria,gr,Greece,0,0,0,10,2021_final_gr
2021,final,at,Austria,bg,Bulgaria,5,0,5,11,2021_final_bg
2021,final,at,Austria,pt,Portugal,7,0,7,12,2021_final_pt
2021,final,at,Austria,md,Moldova,0,0,0,13,2021_final_md
2021,final,at,Austria,se,Sweden,0,0,0,14,2021_final_se
2021,final,at,Austria,rs,Serbia,12,12,0,15,2021_final_rs
2021,final,at,Austria,cy,Cyprus,0,0,0,16,2021_final_cy
2021,final,at,Austria,il,Israel,0,0,0,17,2021_final_il
2021,final,at,Austria,no,Norway,1,1,0,18,2021_final_no
2021,final,at,Austria,be,Belgium,0,0,0,19,2021_final_be
2021,final,at,Austria,az,Azerbaijan,0,0,0,20,2021_final_az
2021,final,at,Austria,al,Albania,0,0,0,21,2021_final_al
2021,final,at,Austria,sm,San Marino,0,0,0,22,2021_final_sm
2021,final,at,Austria,nl,Netherlands,3,0,3,23,2021_final_nl
2021,final,at,Austria,es,Spain,0,0,0,24,2021_final_es
2021,final,at,Austria,de,Germany,2,0,2,25,2021_final_de
2021,final,at,Austria,gb,United Kingdom,0,0,0,26,2021_final_gb
2021,final,az,Azerbaijan,it,Italy,10,10,0,1,2021_final_it
2021,final,az,Azerbaijan,fr,France,6,2,4,2,2021_final_fr
2021,final,az,Azerbaijan,ch,Switzerland,4,4,0,3,2021_final_ch
2021,final,az,Azerbaijan,is,Iceland,0,0,0,4,2021_final_is
2021,final,az,Azerbaijan,ua,Ukraine,14,8,6,5,2021_final_ua
2021,final,az,Azerbaijan,fi,Finland,5,5,0,6,2021_final_fi
2021,final,az,Azerbaijan,mt,Malta,7,0,7,7,2021_final_mt
2021,final,az,Azerbaijan,lt,Lithuania,0,0,0,8,2021_final_lt
2021,final,az,Azerbaijan,ru,Russia,18,6,12,9,2021_final_ru
2021,final,az,Azerbaijan,gr,Greece,10,0,10,10,2021_final_gr
2021,final,az,Azerbaijan,bg,Bulgaria,1,0,1,11,2021_final_bg
2021,final,az,Azerbaijan,pt,Portugal,2,0,2,12,2021_final_pt
2021,final,az,Azerbaijan,md,Moldova,9,1,8,13,2021_final_md
2021,final,az,Azerbaijan,se,Sweden,5,0,5,14,2021_final_se
2021,final,az,Azerbaijan,rs,Serbia,0,0,0,15,2021_final_rs
2021,final,az,Azerbaijan,cy,Cyprus,0,0,0,16,2021_final_cy
2021,final,az,Azerbaijan,il,Israel,12,12,0,17,2021_final_il
2021,final,az,Azerbaijan,no,Norway,7,7,0,18,2021_final_no
2021,final,az,Azerbaijan,be,Belgium,3,0,3,19,2021_final_be
2021,final,az,Azerbaijan,az,Azerbaijan,0,0,0,20,2021_final_az
2021,final,az,Azerbaijan,al,Albania,0,0,0,21,2021_final_al
2021,final,az,Azerbaijan,sm,San Marino,3,3,0,22,2021_final_sm
2021,final,az,Azerbaijan,nl,Netherlands,0,0,0,23,2021_final_nl
2021,final,az,Azerbaijan,es,Spain,0,0,0,24,2021_final_es
2021,final,az,Azerbaijan,de,Germany,0,0,0,25,2021_final_de
2021,final,az,Azerbaijan,gb,United Kingdom,0,0,0,26,2021_final_gb
2021,final,be,Belgium,it,Italy,10,8,2,1,2021_final_it
2021,final,be,Belgium,fr,France,12,12,0,2,2021_final_fr
2021,final,be,Belgium,ch,Switzerland,16,4,12,3,2021_final_ch
2021,final,be,Belgium,is,Iceland,8,5,3,4,2021_final_is
2021,final,be,Belgium,ua,Ukraine,20,10,10,5,2021_final_ua
2021,final,be,Belgium,fi,Finland,14,6,8,6,2021_final_fi
2021,final,be,Belgium,mt,Malta,7,2,5,7,2021_final_mt
2021,final,be,Belgium,lt,Lithuania,7,7,0,8,2021_final_lt
